 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Capítulo CID-10
Período:2024
"Categoria CID-10";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"A01   Febres tifoide e paratifoide";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A02   Outr infecc p/Salmonella";40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40
"A03   Shiguelose";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"A04   Outr infecc intestinais bacter";1388;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1388
"A05   Outr intox alimentares bacter NCOP";22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22
"A06   Amebiase";33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33
"A07   Outr doenc intestinais p/protozoarios";6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"A08   Infecc intestinais virais outr e as NE";253;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;253
"A09   Diarreia e gastroenterite orig infecc presum";5432;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5432
"A15   Tuberc respirat c/conf bacteriol e histolog";2087;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2087
"A16   Tuberc vias respirat s/conf bacter histol";3743;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3743
"A17   Tuberc do sist nervoso";136;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;136
"A18   Tuberc de outr orgaos";121;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;121
"A19   Tuberc miliar";289;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289
"A21   Tularemia";12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"A22   Carbunculo";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"A23   Brucelose";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A24   Mormo e melioidose";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A26   Erisipeloide";11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"A27   Leptospirose";367;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;367
"A28   Outr doenc bacter zoonoticas NCOP";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A30   Hanseniase";121;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;121
"A31   Infecc dev outr micobacterias";256;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;256
"A32   Listeriose";6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"A35   Outr tipos de tetano";58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58
"A36   Difteria";4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"A37   Coqueluche";22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22
"A38   Escarlatina";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"A39   Infecc meningogocica";140;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;140
"A40   Septicemia estreptococica";138;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;138
"A41   Outr septicemias";25299;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25299
"A42   Actinomicose";25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25
"A43   Nocardiose";5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"A44   Bartonelose";18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"A46   Erisipela";2743;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2743
"A48   Outr doenc bacter NCOP";381;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;381
"A49   Infecc bacter de localiz NE";306;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;306
"A50   Sifilis congen";192;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;192
"A51   Sifilis precoce";15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"A52   Sifilis tard";78;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;78
"A53   Outr form e as NE da sifilis";24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24
"A54   Infecc gonococica";9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"A56   Outr infecc p/clamidias transm p/via sexual";4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"A57   Cancro mole";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A58   Granuloma inguinal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A60   Infecc anogenitais p/virus do herpes";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A63   Outr doenc de transm predom sexual NCOP";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"A64   Doenc sexualmente transm NE";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"A65   Sifilis nao-venerea";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A66   Bouba";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"A69   Outr infecc p/espiroquetas";4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"A74   Outr doenc causadas p/Clamidias";5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"A77   Febre maculosa";36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36
"A79   Outr rickettsioses";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A81   Infecc p/virus atipicos sist nervoso central";140;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;140
"A82   Raiva";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"A83   Encefalite p/virus transm p/mosquitos";7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"A84   Encefalite p/virus transm p/carrapatos";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A85   Outr encefalites virais NCOP";6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"A86   Encefalite viral NE";210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;210
"A87   Meningite viral";71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;71
"A88   Outr infecc virais sist nervoso central NCOP";7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"A89   Infecc virais NE do sist nervoso central";27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27
"A90   Dengue";5233;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5233
"A91   Febre hemorragica dev virus do dengue";1504;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1504
